espn_id,h1_goals,h2_goals,et_goals,late2h_goals,h1_ls,h2_ls,n_keyevents,error
760415,1,1,0,0,1,1,39,
760414,0,3,0,1,0,3,29,
760416,1,1,0,1,1,1,45,
760417,3,2,0,1,3,2,55,
760420,1,1,0,1,1,1,39,
760419,2,0,0,0,2,0,36,
760418,1,0,0,0,1,0,33,
760421,1,1,0,1,1,1,31,
760422,4,4,0,2,4,4,28,
760425,0,4,0,1,0,4,41,
760423,0,1,0,1,0,1,34,
760424,3,3,0,2,3,3,39,
760428,0,0,0,0,0,0,31,
760426,1,1,0,0,1,1,30,
760429,1,1,0,1,1,1,29,
760427,2,2,0,0,2,2,42,
760432,0,4,0,3,0,4,33,
760430,3,2,0,2,3,2,40,
760433,1,2,0,1,1,2,31,
760431,1,3,0,2,1,3,43,
760435,2,0,0,0,2,0,27,
760437,4,2,0,1,4,2,32,
760434,0,1,0,1,0,1,41,
760436,1,3,0,1,1,3,36,
760438,1,1,0,1,1,1,29,
760439,0,5,0,4,0,5,37,
760440,3,3,0,2,3,3,52,
760441,0,1,0,0,0,1,29,
760442,2,0,0,0,2,0,51,
760445,1,0,0,0,1,0,36,
760444,3,0,0,0,3,0,37,
760443,1,0,0,0,1,0,64,
760447,2,4,0,1,2,4,35,
760448,1,2,0,1,1,2,41,
760446,0,0,0,0,0,0,43,
760449,2,2,0,1,2,2,30,
760453,3,1,0,0,3,1,38,
760451,0,0,0,0,0,0,35,
760450,3,1,0,0,3,1,42,
760452,1,3,0,1,1,3,44,
760456,1,1,0,1,1,1,47,
760457,1,2,0,0,1,2,25,
760454,1,4,0,1,1,4,35,
760455,1,2,0,1,1,2,27,
760461,3,2,0,1,3,2,35,
760458,0,0,0,0,0,0,31,
760460,0,1,0,0,0,1,24,
760459,0,1,0,1,0,1,30,
760463,0,3,0,1,0,3,28,
760462,3,1,0,1,3,1,46,
760464,4,2,0,2,4,2,45,
760465,2,1,0,0,2,1,34,
760467,0,3,0,1,0,3,38,
760466,0,1,0,0,0,1,23,
760473,1,1,0,0,1,1,31,
760468,2,1,0,1,2,1,35,
760471,0,2,0,0,0,2,35,
760472,2,2,0,0,2,2,26,
760470,3,2,0,1,3,2,40,
760469,0,0,0,0,0,0,30,
760475,4,1,0,1,4,1,38,
760474,1,4,0,1,1,4,44,
760478,0,0,0,0,0,0,38,
760479,1,0,0,0,1,0,39,
760476,2,0,0,0,2,0,44,
760477,1,5,0,3,1,5,36,
760485,0,2,0,0,0,2,39,
760480,1,2,0,1,1,2,32,
760482,1,3,0,2,1,3,41,
760481,0,0,0,0,0,0,29,
760484,2,4,0,2,2,4,36,
760483,2,2,0,1,2,2,39,
760486,0,1,0,1,0,1,35,
760487,1,2,0,1,1,2,33,
760489,1,1,0,0,1,1,58,
760488,0,2,0,1,0,2,44,
760490,1,2,0,1,1,2,28,
760492,1,2,0,0,1,2,25,
760491,2,0,0,0,2,0,35,
