team,ai_prob,market_prob,edge,edge_pct,direction,half_kelly,models_agree,strength
Portugal,0.0219,0.1047,-0.0828,-8.28,SELL,0.0,3,STRONG EDGE
Spain,0.2453,0.1636,0.0817,8.17,BUY,0.0489,3,STRONG EDGE
France,0.0865,0.1549,-0.0684,-6.84,SELL,0.0,3,STRONG EDGE
Ecuador,0.0627,0.0082,0.0545,5.45,BUY,0.0275,3,STRONG EDGE
Brazil,0.0363,0.0835,-0.0472,-4.72,SELL,0.0,3,edge
Argentina,0.1141,0.0854,0.0287,2.87,BUY,0.0157,3,edge
Turkey,0.0351,0.0101,0.0249,2.49,BUY,0.0126,3,edge
Germany,0.0268,0.0497,-0.0229,-2.29,SELL,0.0,3,edge
England,0.0793,0.1018,-0.0226,-2.26,SELL,0.0,3,edge
Netherlands,0.0219,0.0439,-0.022,-2.2,SELL,0.0,3,edge
